product_id,product_name,actual_price,percent_discount
165,4K DP DisplayPort to HDMI-compatible Adapter Converter Display Port DP to HDMI-compatible HDTV Adapter Video Audio PC Laptop ,123.24,56
166,New Pc Soundbar Wired Wireless Bluetooth Speaker Usb Powered Soundbar For Tv Pc Laptop Game Home Theater Surround Audio System ,192.28,0
167,"Wired Portable MP3 Music Speaker Mini Small Burger Speaker, 3.5MM Audio Jack Phone/Laptop Player ",63.16,0
168,Keyboard Cleaning Brush Wooden Anti-Static PC Laptop Cleaner Track Space Cleaning Keyboard Cleaner Kit Electronics Cleaning Tool ,11.87,0
169,DisplayPort Display Port DP to VGA Adapter Cable DP Male to VGA Female Converter Adapter Cable For Projector DTV TV HDVD Laptop ,36.88,46
170,Laptop Bag Sleeve Case Cover Soft Notebook Pouch For Xiaomi Lenovo HP Dell Asus 11 13 15 inch ,331.07,50
171,Phone Cleaning Screen Spray Computer Screen Cleaner Spray Dusting Microfiber Cloth for Mobile Phone Tablet Laptop Screen ,22.48,0
172,Journaling Diary Stationery Sticker Universal Packing Sealing Paster for Calendar Notebook Laptop ,5.55,0
173,PC Soundbar Wired and Wireless Bluetooth Speaker USB Powered Soundbar for TV Pc Laptop Gaming Home Theater Surround Audio System ,592.88,50
174,Wrist Mouse Pad Small Feet Computer Game Creative Solid Color Environmental Protection EVA For Pc Computer Laptop ,16.94,0
175,4D Computer Wired Loudspeaker Bluetooth 5.0 Bar Stereo Sound Subwoofer Surround Soundbar Speaker For Macbook Laptop Notebook PC ,593.9,50
176,New Mini Portable SSD Hard Drive 3.0 High-speed Flash Drive 512G USB PEN DRIVE External Flash Memory For Laptop Desktop ,64.9,27
